City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
279,Reconquista,AR,2021-04-04 23:53:18,-29.15,-59.65,72.75,60,1,5.32
280,Turukhansk,RU,2021-04-04 23:53:18,65.8167,87.9833,30.34,95,100,12.28
281,Porto Torres,IT,2021-04-04 23:53:19,40.835,8.3972,46.4,81,0,3.44
282,Nerchinskiy Zavod,RU,2021-04-04 23:53:19,51.3088,119.61,33.98,49,53,16.06
283,Brandon,US,2021-04-04 23:52:43,27.9378,-82.2859,70.0,49,1,6.91
284,Lompoc,US,2021-04-04 23:51:49,34.6391,-120.4579,62.6,55,79,14.97
285,Ahuimanu,US,2021-04-04 23:53:20,21.4447,-157.8378,77.0,53,20,19.57
286,San Pedro,PH,2021-04-04 23:53:20,14.35,121.0167,81.0,78,90,5.75
287,Constitucion,CL,2021-04-04 23:53:21,-35.3333,-72.4167,54.79,93,12,6.13
288,Jumla,NP,2021-04-04 23:53:21,29.2747,82.1838,42.26,25,46,5.14
289,Tagusao,PH,2021-04-04 23:53:22,9.1924,117.8141,81.43,72,91,6.85
290,Tevriz,RU,2021-04-04 23:53:22,57.509,72.4042,30.58,86,100,8.12
291,George Town,MY,2021-04-04 23:51:32,5.4112,100.3354,82.0,89,20,1.14
