City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current description
235,Manyana,BW,2021-04-10 01:30:00,-23.4,21.7167,65.84,43,0,7.11,clear sky
236,Tigil,RU,2021-04-10 01:30:00,57.8,158.6667,20.32,84,100,16.26,overcast clouds
237,Loreto,MX,2021-04-10 01:30:00,22.2667,-101.9667,75.88,9,1,10.76,clear sky
238,Barka Kana,IN,2021-04-10 01:30:01,23.6167,85.4833,69.8,78,40,4.63,haze
239,Salalah,OM,2021-04-10 01:25:30,17.0151,54.0924,78.8,73,20,3.44,few clouds
240,Zhezkazgan,KZ,2021-04-10 01:30:01,47.8043,67.7144,39.02,81,0,14.36,clear sky
241,Xichang,CN,2021-04-10 01:30:02,27.8964,102.2634,66.92,57,52,2.82,broken clouds
242,Novobirilyussy,RU,2021-04-10 01:30:02,56.9514,90.6661,32.49,91,98,5.57,overcast clouds
243,Asasa,ET,2021-04-10 01:30:02,7.1,39.2,52.97,67,64,0.34,broken clouds
244,Hambantota,LK,2021-04-10 01:30:03,6.1241,81.1185,75.2,100,20,3.44,few clouds
245,Kamenka,RU,2021-04-10 01:30:03,51.3223,42.7678,37.0,83,100,13.42,overcast clouds
246,Multai,IN,2021-04-10 01:30:03,21.7667,78.25,81.86,37,9,6.91,clear sky
247,Kloulklubed,PW,2021-04-10 01:30:04,7.0419,134.2556,86.0,70,75,3.44,broken clouds
248,Talaya,RU,2021-04-10 01:30:04,61.3833,152.75,10.17,80,100,6.08,overcast clouds
249,Codrington,AU,2021-04-10 01:30:04,-38.2667,141.9667,56.17,61,100,24.92,overcast clouds
250,Namibe,AO,2021-04-10 01:28:56,-15.1961,12.1522,78.91,80,92,6.11,overcast clouds
251,Honiara,SB,2021-04-10 01:30:05,-9.4333,159.95,82.38,80,100,7.4,heavy intensity rain
252,Kuytun,RU,2021-04-10 01:30:05,54.3419,101.5036,27.32,72,100,6.67,overcast clouds
253,Rocha,UY,2021-04-10 01:30:05,-34.4833,-54.3333,64.71,92,100,3.15,overcast clouds
254,Mezen,RU,2021-04-10 01:30:05,65.8522,44.24,32.7,80,100,17.0,overcast clouds
255,Rudnichnyy,RU,2021-04-10 01:30:06,59.617,52.4703,24.62,98,50,2.8,scattered clouds
256,Castro,BR,2021-04-10 01:30:06,-24.7911,-50.0119,61.83,73,64,2.68,broken clouds
257,Okhotsk,RU,2021-04-10 01:30:06,59.3833,143.3,24.15,63,98,3.11,overcast clouds
258,Port Lincoln,AU,2021-04-10 01:30:07,-34.7333,135.8667,63.7,54,91,20.67,overcast clouds
